OA Code,Ward Name,LA Name,Region Name,QS606EW0086,QS606EW0001 (base),OA Percentage
E00021663,Shadwell,Tower Hamlets,London,9,100,9.0000,
E00021615,St Katharine's and Wapping,Tower Hamlets,London,1,174,0.5700,
E00008490,Woolwich Common,Greenwich,London,9,114,7.8900,
E00021694,Spitalfields and Banglatown,Tower Hamlets,London,8,198,4.0400,
E00007886,Blackheath Westcombe,Greenwich,London,5,164,3.0500,
E00007891,Charlton,Greenwich,London,16,115,13.9100,
E00008179,Greenwich West,Greenwich,London,4,150,2.6700,
E00008312,Peninsula,Greenwich,London,12,108,11.1100,
E00176513,Woolwich Riverside,Greenwich,London,5,198,2.5300,
E00008173,Greenwich West,Greenwich,London,1,138,0.7200,
E00007909,Charlton,Greenwich,London,15,147,10.2000,
E00008279,Peninsula,Greenwich,London,8,260,3.0800,
E00176547,Greenwich West,Greenwich,London,1,125,0.8000,
E00176515,Greenwich West,Greenwich,London,5,106,4.7200,
E00007873,Blackheath Westcombe,Greenwich,London,8,159,5.0300,
E00008393,Shooters Hill,Greenwich,London,14,174,8.0500,
E00176584,Glyndon,Greenwich,London,13,167,7.7800,
E00008530,Woolwich Riverside,Greenwich,London,12,74,16.2200,
E00167251,Mile End and Globe Town,Tower Hamlets,London,23,193,11.9200,
E00015688,Prince's,Lambeth,London,5,172,2.9100,
E00004536,Holborn and Covent Garden,Camden,London,1,169,0.5900,
E00015609,Larkhall,Lambeth,London,11,178,6.1800,
E00021517,Millwall,Tower Hamlets,London,5,177,2.8200,
E00021596,St Katharine's and Wapping,Tower Hamlets,London,12,204,5.8800,
E00004169,Bloomsbury,Camden,London,9,183,4.9200,
E00004552,Holborn and Covent Garden,Camden,London,14,122,11.4800,
E00004731,St Pancras and Somers Town,Camden,London,11,165,6.6700,
E00004664,King's Cross,Camden,London,3,172,1.7400,
