OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00176260,Haggerston,Hackney,London,2,145,1.3800,
E00176245,Hoxton,Hackney,London,2,138,1.4500,
E00008221,Kidbrooke with Hornfair,Greenwich,London,15,153,9.8000,
E00008494,Woolwich Riverside,Greenwich,London,9,129,6.9800,
E00008127,Glyndon,Greenwich,London,14,103,13.5900,
E00007858,Blackheath Westcombe,Greenwich,London,9,146,6.1600,
E00007927,Charlton,Greenwich,London,13,154,8.4400,
E00008259,Middle Park and Sutcliffe,Greenwich,London,0,108,0.0000,
E00176538,Woolwich Riverside,Greenwich,London,10,89,11.2400,
E00008525,Woolwich Riverside,Greenwich,London,13,125,10.4000,
E00176589,Woolwich Riverside,Greenwich,London,16,79,20.2500,
E00008214,Kidbrooke with Hornfair,Greenwich,London,16,148,10.8100,
E00008295,Peninsula,Greenwich,London,3,202,1.4900,
E00007847,Blackheath Westcombe,Greenwich,London,4,121,3.3100,
E00008853,Haggerston,Hackney,London,6,89,6.7400,
E00176312,Haggerston,Hackney,London,2,142,1.4100,
E00008849,Haggerston,Hackney,London,15,118,12.7100,
E00008847,Haggerston,Hackney,London,12,101,11.8800,
E00008885,Hoxton,Hackney,London,11,133,8.2700,
E00176537,Kidbrooke with Hornfair,Greenwich,London,10,112,8.9300,
E00008472,Woolwich Common,Greenwich,London,15,152,9.8700,
E00008302,Peninsula,Greenwich,London,8,120,6.6700,
E00000030,Portsoken,City of London,London,10,140,7.1400,
E00166759,Cripplegate,City of London,London,4,159,2.5200,
E00000001,Aldersgate,City of London,London,0,102,0.0000,
E00000010,Cripplegate,City of London,London,0,59,0.0000,
E00000019,Cripplegate,City of London,London,1,96,1.0400,
E00166756,Aldersgate,City of London,London,1,150,0.6700,
E00000005,Aldersgate,City of London,London,3,241,1.2400,
E00166758,Aldersgate,City of London,London,0,200,0.0000,
E00000016,Cripplegate,City of London,London,2,198,1.0100,
E00000035,Tower,City of London,London,3,190,1.5800,
E00000023,Cripplegate,City of London,London,3,98,3.0600,
E00000022,Cripplegate,City of London,London,8,129,6.2000,
E00000031,Portsoken,City of London,London,2,59,3.3900,
E00166757,Walbrook,City of London,London,5,266,1.8800,
E00000032,Portsoken,City of London,London,17,145,11.7200,
E00000029,Portsoken,City of London,London,4,132,3.0300,
E00000017,Cripplegate,City of London,London,4,160,2.5000,
E00000026,Farringdon Without,City of London,London,4,232,1.7200,
E00000027,Farringdon Without,City of London,London,3,281,1.0700,
E00000028,Farringdon Without,City of London,London,1,97,1.0300,
E00000007,Cheap,City of London,London,0,86,0.0000,
E00000018,Cripplegate,City of London,London,4,131,3.0500,
E00000025,Farringdon Without,City of London,London,4,242,1.6500,
E00000024,Farringdon Within,City of London,London,2,186,1.0800,
E00166755,Lime Street,City of London,London,1,177,0.5600,
E00000020,Cripplegate,City of London,London,5,143,3.5000,
E00000013,Cripplegate,City of London,London,4,108,3.7000,
E00000003,Aldersgate,City of London,London,2,147,1.3600,
E00000021,Bassishaw,City of London,London,2,182,1.1000,
E00000012,Cripplegate,City of London,London,5,115,4.3500,
E00000014,Cripplegate,City of London,London,5,96,5.2100,
E00008447,Woolwich Common,Greenwich,London,5,227,2.2000,
E00007928,Charlton,Greenwich,London,9,144,6.2500,
E00008168,Greenwich West,Greenwich,London,3,46,6.5200,
E00176520,Kidbrooke with Hornfair,Greenwich,London,10,197,5.0800,
E00008386,Shooters Hill,Greenwich,London,8,96,8.3300,
E00008401,Shooters Hill,Greenwich,London,10,172,5.8100,
E00007872,Blackheath Westcombe,Greenwich,London,6,168,3.5700,
E00008480,Woolwich Common,Greenwich,London,14,137,10.2200,
E00008182,Greenwich West,Greenwich,London,2,168,1.1900,
E00008307,Peninsula,Greenwich,London,22,172,12.7900,
E00008103,Glyndon,Greenwich,London,11,115,9.5700,
E00008314,Peninsula,Greenwich,London,13,161,8.0700,
E00176590,Greenwich West,Greenwich,London,5,96,5.2100,
E00008395,Shooters Hill,Greenwich,London,7,161,4.3500,
E00008215,Kidbrooke with Hornfair,Greenwich,London,12,166,7.2300,
E00008294,Peninsula,Greenwich,London,14,193,7.2500,
E00008535,Woolwich Riverside,Greenwich,London,7,120,5.8300,
E00008451,Woolwich Common,Greenwich,London,15,96,15.6300,
E00008200,Kidbrooke with Hornfair,Greenwich,London,12,135,8.8900,
E00007841,Blackheath Westcombe,Greenwich,London,3,81,3.7000,
E00008180,Greenwich West,Greenwich,London,3,143,2.1000,
E00008479,Woolwich Common,Greenwich,London,19,188,10.1100,
E00007995,Eltham North,Greenwich,London,17,205,8.2900,
E00007914,Charlton,Greenwich,London,7,170,4.1200,
E00008195,Kidbrooke with Hornfair,Greenwich,London,17,183,9.2900,
E00008310,Peninsula,Greenwich,London,7,109,6.4200,
E00008481,Woolwich Common,Greenwich,London,8,82,9.7600,
E00007904,Charlton,Greenwich,London,19,172,11.0500,
E00008473,Woolwich Common,Greenwich,London,18,149,12.0800,
E00008488,Woolwich Common,Greenwich,London,6,66,9.0900,
E00008306,Peninsula,Greenwich,London,6,135,4.4400,
E00008156,Greenwich West,Greenwich,London,13,108,12.0400,
E00008517,Woolwich Riverside,Greenwich,London,6,89,6.7400,
E00176539,Woolwich Riverside,Greenwich,London,14,422,3.3200,
E00008399,Shooters Hill,Greenwich,London,8,188,4.2600,
E00176511,Woolwich Riverside,Greenwich,London,6,190,3.1600,
E00008171,Greenwich West,Greenwich,London,5,183,2.7300,
E00008387,Shooters Hill,Greenwich,London,10,117,8.5500,
E00008175,Greenwich West,Greenwich,London,3,118,2.5400,
E00007881,Blackheath Westcombe,Greenwich,London,8,208,3.8500,
